Subject;Professor's ID;First Name;Name
Accountancy;23476;Joe;Stings
Algebra;23462;Thomas;Davis
Biology;23469;William;O'Neil
Data Structure and Algorithm;23459;Harry;Byrne
Economy;23479;Sophia;Castillo
English;23466;Jessica;Thomas
Ethics;23475;Bethany;Mereen
Fluid Mechanics;23457;Amelia;Smith
French;23467;James;Evans
Geography;23464;Elizabeth;Williams
Geometry;23463;James;Wilson
Greek;23471;Jake;O'Connor
History;23465;Ava;Taylor
Latin;23470;Damian;Anderson
Litterature;23468;Madison;Roberts
Management;23478;Miley;Pratt
Marketing;23477;Ethan;Milston
Numerical Analysis;23458;Margaret;Walsh
Object-Oriented Programming;23460;Charlie;Jones
Philosophy;23473;Isabella;Martin
Probabilities;23461;Emma;Brown
Psychology;23480;Oscar;Hampton
Statistical Inference;23456;Oliver;Murphy
Thermodynamics;23472;Connor;Roy
Vector Analysis;23474;Daniel;Hastings
Art;23481;Paul;Malt
