ID (begins by 1 for all students);First name;Name;Gender;Birthdate;Class;Personal email adress;Phone number;Adress;Password;Tutor's ID;Fees to pay
12345;Mary;Smith;Female;17/02/2000;A2;mary.smith@gmail.com;0 35 98 74 15;Dublin2;student1;23456;5000
12346;David;Jones;Male;18/12/2000;A2;david.jones@gmail.com;0 55 98 74 15;Dublin;fnJPj547;23456;3000
12347;Tim;Johnson;Male;02/07/2001;A1;tim.johnson@gmail.com;0 35 98 74 44;Cork;zjbz69Gs;23456;2000
12348;Jean;Williams;Female;30/01/1997;A5;jean.williams@yahoo.ie;0 35 41 84 15;Limerick;dfyuf87HV1;23456;4700
12349;Sandy;Brown;Female;02/02/1998;A4;sandy.brown@gmail.com;0 35 94 74 15;Galway;PSB59fnsv;23456;5000
12350;Laura;Taylor;Female;14/08/1999;A3;laura.taylor@gmail.com;0 14 98 74 15;Waterford;dshgi5wg;23457;1200
12351;Susan;Davies;Female;25/09/2001;A1;susan.davies@gmail.com;0 35 98 93 15;Dublin;batkdf2j4;23457;3500
12352;Paul;Wilson;Male;01/08/2001;B1;paul.wilson@gmail.com;0 35 98 72 55;Dublin;54sdggjGd;23457;4000
12353;Arthur;Evans;Male;04/03/2000;B2;arthur.evans@gmail.com;0 52 98 74 15;Swords;jhdgqzir564;23457;1000
12354;Eva;Thomas;Female;06/06/1998;A4;eva.thomas@gmail.com;0 31 51 56 15;Bray;sggdn4;23459;5000
12355;Michel;Roberts;Male;16/07/1998;B4;michel.roberts@gmail.com;0 35 98 71 76;Dublin;stql3d;23459;0
12356;Pierre;Murphy;Male;06/01/1997;A5;pierre.murphy@gmail.com;0 26 78 74 15;Dublin;nbdhv5;23479;2000
12357;William;Walsh;Male;15/12/1999;A3;william.walsh@gmail.com;0 54 73 74 15;Cork;sdhgbof89;23479;2500
12358;Catherine;Byrne;Female;15/03/2000;B2;catherine.byrne@gmail.com;0 35 92 19 45;Galway;d2f2f0;23474;2400
12359;Louise;Garcia;Female;07/08/2001;B1;louise.garcia@gmail.com;0 35 17 36 15;Kilkenny;zjub497d;23474;1200
